Year,Month,Local,Mainland,Others,Total
2021,1,-27561,-1788,-650,-29999
2021,2,30690,1701,-373,32018
2021,3,11913,1179,-311,12781
2021,4,729,473,-328,874
2021,5,-7436,-45,-469,-7950
2021,6,-9139,-90,-389,-9618
2021,7,-36736,-1686,-156,-38578
2021,8,29734,3529,180,33443
2021,9,-4750,2300,110,-2340
2021,10,-4722,1559,314,-2849
2021,11,-2969,1001,296,-1672
2021,12,-17393,553,-39,-16879
2022,1,-14605,51,-698,-15252
2022,2,-65295,-5577,-482,-71354
2022,3,-66334,-3034,-719,-70087
2022,4,145,-696,-230,-781
2022,5,15294,5758,2026,23078
2022,6,-15311,7521,1327,-6463
2022,7,-22846,-827,1276,-22397
2022,8,42166,465,1697,44328
2022,9,-3763,-2706,1684,-4785
2022,10,-7351,1538,5234,-579
2022,11,8168,4058,5111,17337
2022,12,-111818,-1468,15580,-97706
2023,1,-729,11988,-12204,-945
2023,2,32516,34161,18439,85116
2023,3,-173144,7078,2744,-163322
2023,4,-62206,117839,15015,70648
2023,5,149674,-115064,-15796,18814
2023,6,-196818,22308,14393,-160117
2023,7,-74082,42460,-5692,-37314
2023,8,292382,-67134,-5189,220059
2023,9,-435613,109507,19204,-306902
2023,10,479231,-91595,7420,395056
2023,11,-7504,6670,8050,7216
2023,12,-388803,93356,50141,-245306
